split,seed,model,n,positives,prevalence,average_precision,roc_auc,precision_at_20,brier_score,validation_ap,seconds,trainable_parameters,checkpoint_reload_verified
scaffold,505,fusion_60,229,12,0.05240174672489083,0.47878064204799625,0.8509984639016898,0.3,0.03909033422611938,0.7605555555555555,8.895068333018571,30977.0,
scaffold,505,selected_blend,229,12,0.05240174672489083,0.47878064204799625,0.8509984639016898,0.3,0.03909033424934026,0.7605555555555555,,,
random,101,kernel_r2,229,12,0.05240174672489083,0.9316239316239318,0.9900153609831029,0.55,0.013376647878712187,0.625543784187276,,,
random,101,kernel_multiscale,229,12,0.05240174672489083,0.9072492322492324,0.989247311827957,0.55,0.014442030911935485,0.6152937005891616,,,
random,101,kernel_fusion_forest,229,12,0.05240174672489083,0.8962272408963586,0.9880952380952381,0.55,0.01652153222337346,0.7510996392920432,,,
random,101,kernel_chemprop_forest,229,12,0.05240174672489083,0.9112364243943193,0.988095238095238,0.55,0.016576105436452097,0.7386312701919578,,,
random,101,chemprop_forest,229,12,0.05240174672489083,0.891394230769231,0.9823348694316436,0.55,0.018762794786558467,0.7393907707132916,,,
random,202,kernel_r2,229,12,0.05240174672489083,0.5519290297516104,0.8371735791090631,0.35,0.033495496430264164,0.5161013065744524,,,
random,202,kernel_multiscale,229,12,0.05240174672489083,0.5413185059598888,0.8460061443932412,0.35,0.03411633039570261,0.5138633636330482,,,
random,202,kernel_fusion_forest,229,12,0.05240174672489083,0.6018409782893249,0.8448540706605223,0.4,0.032783046882562804,0.5699015659889645,,,
random,202,kernel_chemprop_forest,229,12,0.05240174672489083,0.5959041633905501,0.8314132104454686,0.4,0.03139684136920201,0.6310548610793709,,,
random,202,chemprop_forest,229,12,0.05240174672489083,0.6056399083293139,0.8229646697388632,0.4,0.031131240240573527,0.6561581792179473,,,
random,303,kernel_r2,229,12,0.05240174672489083,0.730976033197832,0.9047619047619048,0.4,0.022157000105495178,0.534932177142322,,,
random,303,kernel_multiscale,229,12,0.05240174672489083,0.7869488073006982,0.9385560675883255,0.5,0.019002388598407586,0.5511034315409997,,,
random,303,kernel_fusion_forest,229,12,0.05240174672489083,0.8103951365572174,0.966589861751152,0.5,0.02231342495665678,0.5687476815514392,,,
random,303,kernel_chemprop_forest,229,12,0.05240174672489083,0.8158036070138566,0.9735023041474655,0.5,0.020709296460418684,0.5666466334525668,,,
random,303,chemprop_forest,229,12,0.05240174672489083,0.7958530655307269,0.9711981566820277,0.5,0.022781953603103863,0.5741442047656469,,,
random,404,kernel_r2,229,12,0.05240174672489083,0.7919681761593528,0.9800307219662058,0.5,0.0259698423481571,0.6744751544245666,,,
random,404,kernel_multiscale,229,12,0.05240174672489083,0.7777606632321546,0.978494623655914,0.5,0.025795468413182265,0.6821797315106604,,,
random,404,kernel_fusion_forest,229,12,0.05240174672489083,0.7617979242979244,0.9665898617511521,0.45,0.022275600087353957,0.6478921220832986,,,
random,404,kernel_chemprop_forest,229,12,0.05240174672489083,0.7304940429940431,0.9592933947772657,0.4,0.023807563574595,0.6671004038916412,,,
random,404,chemprop_forest,229,12,0.05240174672489083,0.7072042071138801,0.935099846390169,0.4,0.023649824261524198,0.638571973160794,,,
random,505,kernel_r2,229,12,0.05240174672489083,0.7338984853524015,0.8333333333333333,0.5,0.024031139746162188,0.7646263528972258,,,
random,505,kernel_multiscale,229,12,0.05240174672489083,0.7384257535164978,0.836405529953917,0.5,0.023680890476289688,0.7512329693738989,,,
random,505,kernel_fusion_forest,229,12,0.05240174672489083,0.7771826406559234,0.8655913978494624,0.45,0.023192318170427953,0.7511943666355432,,,
random,505,kernel_chemprop_forest,229,12,0.05240174672489083,0.7955769230769233,0.8621351766513057,0.45,0.02164567942440318,0.7515150724032303,,,
random,505,chemprop_forest,229,12,0.05240174672489083,0.7948145392372601,0.8767281105990784,0.45,0.02138961210556875,0.7408964907430071,,,
scaffold,101,kernel_r2,229,12,0.05240174672489083,0.9107235357235358,0.9942396313364056,0.6,0.019575197881005386,0.7610498722467464,,,
scaffold,101,kernel_multiscale,229,12,0.05240174672489083,0.9614769489769491,0.9980798771121352,0.6,0.019199517011243342,0.7481982575809122,,,
scaffold,101,kernel_fusion_forest,229,12,0.05240174672489083,0.8268425147836913,0.9838709677419355,0.5,0.022142037120298916,0.7296426567259902,,,
scaffold,101,kernel_chemprop_forest,229,12,0.05240174672489083,0.83875,0.9831029185867896,0.5,0.019937643340982657,0.7642819972465383,,,
scaffold,101,chemprop_forest,229,12,0.05240174672489083,0.8175964830376595,0.9781105990783411,0.5,0.0221588565228853,0.7386509324009325,,,
scaffold,202,kernel_r2,229,12,0.05240174672489083,0.7451289202683726,0.9132104454685099,0.4,0.03398192514027434,0.3787623477800537,,,
scaffold,202,kernel_multiscale,229,12,0.05240174672489083,0.7182196521978482,0.9170506912442397,0.4,0.03695867706808555,0.4045333969971443,,,
scaffold,202,kernel_fusion_forest,229,12,0.05240174672489083,0.766330020351997,0.9304915514592934,0.4,0.026877479699364295,0.4715330046363944,,,
scaffold,202,kernel_chemprop_forest,229,12,0.05240174672489083,0.787335770858352,0.9381720430107527,0.45,0.022730856784303463,0.47004414916015724,,,
scaffold,202,chemprop_forest,229,12,0.05240174672489083,0.7882792978510745,0.934331797235023,0.45,0.020683360291811993,0.47665346325167957,,,
scaffold,303,kernel_r2,229,12,0.05240174672489083,0.8288311395018714,0.9473886328725039,0.5,0.017628218758076675,0.8541194593520175,,,
scaffold,303,kernel_multiscale,229,12,0.05240174672489083,0.8387045078577339,0.9692780337941629,0.5,0.018150484608401057,0.87722816399287,,,
scaffold,303,kernel_fusion_forest,229,12,0.05240174672489083,0.8280632639328293,0.9381720430107527,0.5,0.0195149107530045,0.8664203894616266,,,
scaffold,303,kernel_chemprop_forest,229,12,0.05240174672489083,0.8241303043934624,0.9408602150537635,0.5,0.01717674268134548,0.8724537037037038,,,
scaffold,303,chemprop_forest,229,12,0.05240174672489083,0.821885521885522,0.9231950844854071,0.5,0.017948400229122707,0.877963458110517,,,
