split,seed,model,baseline,average_precision_delta,roc_auc_delta,precision_at_20_delta,brier_score_delta
random,404,kernel_chemprop_forest,chemprop_forest,0.02328983588016298,0.024193548387096753,0.0,0.0001577393130708024
random,505,kernel_r2,forest,-0.00781504147397516,-0.05241935483870974,0.04999999999999999,-4.617029750591389e-05
random,505,kernel_r2,chemprop,-0.014762232835694555,-0.0011520737327190833,0.04999999999999999,0.0012602210155965889
random,505,kernel_multiscale,forest,-0.0032877733098789497,-0.049347158218125964,0.04999999999999999,-0.00039641956737841363
random,505,kernel_multiscale,chemprop,-0.010234964671598346,0.0019201228878646948,0.04999999999999999,0.0009099717457240891
random,505,kernel_fusion_forest,forest,0.03546911382954665,-0.020161290322580627,0.0,-0.0008849918732401485
random,505,kernel_fusion_forest,chemprop,0.028521922467827254,0.03110599078341003,0.0,0.00042139943986235426
random,505,kernel_chemprop_forest,forest,0.05386339625054659,-0.023617511520737322,0.0,-0.002431630619264921
random,505,kernel_chemprop_forest,chemprop,0.046916204888827195,0.027649769585253337,0.0,-0.0011252393061624184
random,505,chemprop_forest,forest,0.053101012410883386,-0.009024577572964598,0.0,-0.002687697938099351
random,505,chemprop_forest,chemprop,0.04615382104916399,0.04224270353302606,0.0,-0.0013813066249968482
random,505,kernel_multiscale,kernel_r2,0.00452726816409621,0.003072196620583778,0.0,-0.00035024926987249974
random,505,kernel_fusion_forest,selected_blend,-0.018640258495149387,-0.01766513056835628,0.0,-0.0003117622110110352
random,505,kernel_chemprop_forest,chemprop_forest,0.0007623838396632054,-0.014592933947772724,0.0,0.0002560673188344298
scaffold,101,kernel_r2,forest,0.11658060212960386,0.02035330261136703,0.14999999999999997,-0.0032754396735797144
scaffold,101,kernel_r2,chemprop,0.12294880290661636,0.025345622119815614,0.14999999999999997,-0.013341415938128414
scaffold,101,kernel_multiscale,forest,0.16733401538301718,0.02419354838709664,0.14999999999999997,-0.0036511205433417578
scaffold,101,kernel_multiscale,chemprop,0.17370221616002968,0.029185867895545226,0.14999999999999997,-0.013717096807890457
scaffold,101,kernel_fusion_forest,forest,0.03269958118975935,0.009984639016896946,0.04999999999999999,-0.0007086004342861836
scaffold,101,kernel_fusion_forest,chemprop,0.03906778196677185,0.01497695852534553,0.04999999999999999,-0.010774576698834883
scaffold,101,kernel_chemprop_forest,forest,0.04460706640606804,0.009216589861751001,0.04999999999999999,-0.0029129942136024434
scaffold,101,kernel_chemprop_forest,chemprop,0.05097526718308054,0.014208909370199585,0.04999999999999999,-0.012978970478151143
scaffold,101,chemprop_forest,forest,0.023453549443727573,0.004224270353302528,0.04999999999999999,-0.0006917810316998015
scaffold,101,chemprop_forest,chemprop,0.029821750220740073,0.009216589861751112,0.04999999999999999,-0.010757757296248501
scaffold,101,kernel_multiscale,kernel_r2,0.050753413253413315,0.0038402457757296116,0.0,-0.0003756808697620434
scaffold,101,kernel_fusion_forest,selected_blend,0.03269958118975935,0.009984639016896946,0.04999999999999999,-0.0007086004342862391
scaffold,101,kernel_chemprop_forest,chemprop_forest,0.02115351696234047,0.004992319508448473,0.0,-0.002221213181902642
scaffold,202,kernel_r2,forest,-0.039407621621110445,-0.027841781874040072,-0.09999999999999998,0.012229436057304938
scaffold,202,kernel_r2,chemprop,-0.011977927191735738,0.0007680491551459445,-0.04999999999999999,0.010180470831343838
scaffold,202,kernel_multiscale,forest,-0.06631688969163485,-0.02400153609831035,-0.09999999999999998,0.015206187985116155
scaffold,202,kernel_multiscale,chemprop,-0.038887195262260144,0.004608294930875667,-0.04999999999999999,0.013157222759155054
scaffold,202,kernel_fusion_forest,forest,-0.01820652153748603,-0.010560675883256598,-0.09999999999999998,0.005124990616394896
scaffold,202,kernel_fusion_forest,chemprop,0.009223172891888676,0.01804915514592942,-0.04999999999999999,0.003076025390433796
scaffold,202,kernel_chemprop_forest,forest,0.002799228968868972,-0.002880184331797264,-0.04999999999999999,0.0009783677013340646
scaffold,202,kernel_chemprop_forest,chemprop,0.03022892339824368,0.025729646697388753,0.0,-0.0010705975246270358
scaffold,202,chemprop_forest,forest,0.0037427559615914596,-0.006720430107526987,-0.04999999999999999,-0.001069128791157406
scaffold,202,chemprop_forest,chemprop,0.031172450390966167,0.02188940092165903,0.0,-0.0031180940171185063
scaffold,202,kernel_multiscale,kernel_r2,-0.026909268070524406,0.0038402457757297226,0.0,0.0029767519278112164
scaffold,202,kernel_fusion_forest,selected_blend,0.0059183980759680566,0.01497695852534564,0.0,-0.002184010008408274
scaffold,202,kernel_chemprop_forest,chemprop_forest,-0.0009435269927224876,0.0038402457757297226,0.0,0.0020474964924914706
scaffold,303,kernel_r2,forest,0.06852950351005127,0.05760368663594473,0.04999999999999999,-0.004583955914412324
scaffold,303,kernel_r2,chemprop,0.01904981562480268,-0.016897081413210557,0.04999999999999999,-0.0021231772223523245
scaffold,303,kernel_multiscale,forest,0.07840287186591377,0.07949308755760376,0.04999999999999999,-0.004061690064087943
scaffold,303,kernel_multiscale,chemprop,0.02892318398066518,0.004992319508448473,0.04999999999999999,-0.0016009113720279432
scaffold,303,kernel_fusion_forest,forest,0.06776162794100915,0.048387096774193616,0.04999999999999999,-0.0026972639194845008
scaffold,303,kernel_fusion_forest,chemprop,0.01828194005576056,-0.02611367127496167,0.04999999999999999,-0.00023648522742450093
scaffold,303,kernel_chemprop_forest,forest,0.06382866840164225,0.05107526881720437,0.04999999999999999,-0.005035431991143521
scaffold,303,kernel_chemprop_forest,chemprop,0.014348980516393661,-0.02342549923195092,0.04999999999999999,-0.0025746532990835215
scaffold,303,chemprop_forest,forest,0.061583885893701895,0.033410138248847976,0.04999999999999999,-0.004263774443366293
scaffold,303,chemprop_forest,chemprop,0.012104198008453304,-0.04109062980030731,0.04999999999999999,-0.0018029957513062932
scaffold,303,kernel_multiscale,kernel_r2,0.0098733683558625,0.02188940092165903,0.0,0.0005222658503243813
